source_input,pair_name,Convergence,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation,relative_half_width_target,z_score,precision_margin,required_total_runs,additional_runs_needed,requirement_status
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,-1,-1,1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,-1,1,-1,-1,1,accuracy,3,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,3,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,1,-1,-1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,1,-1,1,-1,-1,1,accuracy,4,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,4,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,1,1,-1,-1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,-1,-1,1,1,-1,recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,-1,1,-1,-1,1,recall,3,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,3,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,1,-1,-1,1,-1,recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,1,-1,1,-1,-1,1,recall,4,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,4,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,1,1,-1,-1,1,-1,recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,-1,-1,1,1,-1,precision,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,-1,1,-1,-1,1,precision,3,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,3,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,-1,1,-1,-1,1,-1,precision,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,1,-1,1,-1,-1,1,precision,4,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,4,0,satisfied_zero_mean
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/Qwen__Qwen3.5-9B/contrastive_penalty_alpha_0.8/evaluated.csv,sg3_sg1,1,1,-1,-1,1,-1,precision,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
