source_input,pair_name,Explanation,Example,Counterexample,Array/List(1/-1),Convergence,Tag/Adjacency(1/-1),Decoding Algorithm,Beam Width Level,Contrastive Penalty Level,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,-1,-1,beam,-1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,-1,-1,beam,1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,-1,-1,greedy,0,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,-1,1,beam,-1,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,-1,1,beam,1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,-1,1,greedy,0,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,1,-1,beam,-1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,1,-1,beam,1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,1,-1,greedy,0,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,1,1,beam,-1,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,1,1,beam,1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,-1,1,1,greedy,0,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,-1,-1,beam,-1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,-1,-1,beam,1,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,-1,-1,greedy,0,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,-1,1,beam,-1,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,-1,1,beam,1,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,-1,1,greedy,0,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,1,-1,beam,-1,0,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,1,-1,beam,1,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,1,-1,greedy,0,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,1,1,beam,-1,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,1,1,beam,1,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,-1,1,1,1,greedy,0,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,-1,-1,beam,-1,0,accuracy,5,0.40909090909090906,0.0,0.4090909090909091,0.4090909090909091,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,-1,-1,beam,1,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,-1,-1,greedy,0,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,-1,1,beam,-1,0,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,-1,1,beam,1,0,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,-1,1,greedy,0,0,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,1,-1,beam,-1,0,accuracy,5,0.40909090909090906,0.0,0.4090909090909091,0.4090909090909091,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,1,-1,beam,1,0,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,1,-1,greedy,0,0,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,1,1,beam,-1,0,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,1,1,beam,1,0,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/combined/evaluated.csv,sg1_sg2,-1,-1,1,-1,1,1,greedy,0,0,accuracy,5,0.0,0.0,0.0,0.0,0.0,
