accuracy,algorithm,avg_duration_seconds,avg_tokens_per_second,candidate_edge_count,condition_bits,condition_label,decoding_algorithm,embedding_model,f1,max_duration_seconds,max_tokens_per_second,model,pair_name,precision,raw_row_path,recall,replication,response_trace_count,status,thinking_mode_supported,total_completion_tokens,total_prompt_tokens,verified_edge_count
1.0,algo2,7.3537574999999995,10.19266025,24,000000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,1.0,18.218168,14.051907,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/greedy/sg1_sg2/000000/rep_00/raw_row.json,1.0,0,4,finished,True,356,3083,23
0.5909090909090909,algo2,6.22258025,12.347370999999999,26,000000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,14.374533,17.809275,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/sg1_sg2/000000/rep_00/raw_row.json,0.5909090909090909,0,4,finished,True,372,3039,21
0.5909090909090909,algo2,6.056026,9.837714250000001,15,000000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,13.166618,12.010944,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_6/sg1_sg2/000000/rep_00/raw_row.json,0.5909090909090909,0,4,finished,True,259,2976,13
1.0,algo2,5.95865025,12.15896375,24,000000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,1.0,13.973214,18.320768,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/greedy/sg1_sg2/000000/rep_01/raw_row.json,1.0,1,4,finished,True,356,3083,23
0.5909090909090909,algo2,7.839591,10.05943175,26,000000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,18.865614,13.569662,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/sg1_sg2/000000/rep_01/raw_row.json,0.5909090909090909,1,4,finished,True,372,3039,21
0.5909090909090909,algo2,7.1925195,8.76575,15,000000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,16.989951,11.477151,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_6/sg1_sg2/000000/rep_01/raw_row.json,0.5909090909090909,1,4,finished,True,259,2976,13
1.0,algo2,5.95191125,12.164294,24,000000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,1.0,13.874136,18.4516,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/greedy/sg1_sg2/000000/rep_02/raw_row.json,1.0,2,4,finished,True,356,3083,23
0.5909090909090909,algo2,6.33494475,12.19447375,26,000000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,14.778696,17.322232,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/sg1_sg2/000000/rep_02/raw_row.json,0.5909090909090909,2,4,finished,True,372,3039,21
0.5909090909090909,algo2,6.9728745,8.86594325,15,000000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,16.16405,10.525139,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_6/sg1_sg2/000000/rep_02/raw_row.json,0.5909090909090909,2,4,finished,True,259,2976,13
1.0,algo2,7.198621750000001,10.589065,24,000000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,1.0,18.218216,14.05187,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/greedy/sg1_sg2/000000/rep_03/raw_row.json,1.0,3,4,finished,True,356,3083,23
0.5909090909090909,algo2,6.404889000000001,11.881898999999999,26,000000,beam_num_beams_2,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,14.556959,17.58609,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/sg1_sg2/000000/rep_03/raw_row.json,0.5909090909090909,3,4,finished,True,372,3039,21
0.5909090909090909,algo2,6.18757575,9.66056025,15,000000,beam_num_beams_6,beam,Qwen/Qwen3-Embedding-0.6B,0.7428571428571429,13.564715,11.729704,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/beam_num_beams_6/sg1_sg2/000000/rep_03/raw_row.json,0.5909090909090909,3,4,finished,True,259,2976,13
1.0,algo2,6.1890465,11.64403525,24,000000,greedy,greedy,Qwen/Qwen3-Embedding-0.6B,1.0,14.34614,17.844522,Qwen/Qwen3.5-9B,sg1_sg2,1.0,/workspace/results/hf-paper-batch-algo2-qwen-current/runs/algo2/Qwen__Qwen3.5-9B/greedy/sg1_sg2/000000/rep_04/raw_row.json,1.0,4,4,finished,True,356,3083,23
