algorithm,model,embedding_model,decoding_algorithm,condition_label,pair_name,condition_bits,replication,status,thinking_mode_supported,raw_row_path,result_edge_count,recall,avg_duration_seconds,avg_tokens_per_second,max_duration_seconds,max_tokens_per_second,response_trace_count,total_completion_tokens,total_prompt_tokens
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,0,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,1.3874721363636364,31.874512227272728,1.95995,32.958415,22,973,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,0,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,1.5883395454545453,29.851231818181816,2.238519,31.206593,22,1046,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,0,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,1.8767852272727277,26.06624536363637,2.965131,28.329274,22,1081,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,subgraph_1_to_subgraph_3,0,0,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,3.3467109545454545,12.92872940909091,4.972313,16.154836,22,970,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.8,subgraph_1_to_subgraph_3,0,0,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,24,0.0,7.049899818181817,18.344337090909093,23.175975,22.825361,22,3008,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,1,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,1.3927274545454549,31.629359454545455,1.992715,32.220004,22,973,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,1,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,1.628095454545455,29.107620363636364,2.311026,30.041039,22,1046,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,1,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,1.9310814545454549,25.321969045454544,3.036699,27.661619,22,1081,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,subgraph_1_to_subgraph_3,0,1,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,3.3407064545454546,12.979029954545457,4.653323,16.503568,22,970,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.8,subgraph_1_to_subgraph_3,0,1,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,24,0.0,6.977236772727273,18.494923818181817,22.164173,23.867346,22,3008,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,2,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,66,0.0,1.421680090909091,30.97840727272727,2.054051,32.18451,22,973,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,2,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,66,0.0,1.9020184090909091,25.814421636363637,2.91458,28.820618,22,1081,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,subgraph_1_to_subgraph_3,0,2,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,66,0.0,3.410868681818182,12.719612727272729,4.218888,16.254486,22,970,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.8,subgraph_1_to_subgraph_3,0,2,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,24,0.0,6.996380863636364,18.329046272727272,21.755514,24.315675,22,3008,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,3,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,66,0.0,1.3826207272727271,31.870231,1.987761,32.418396,22,973,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,3,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,66,0.0,1.6106827727272728,29.43254759090909,2.288944,30.462666,22,1046,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,3,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,66,0.0,1.9089596363636363,25.61584936363636,2.975161,28.23377,22,1081,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,subgraph_1_to_subgraph_3,0,3,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,66,0.0,3.4680085000000003,12.511803181818182,4.370427,16.371739,22,970,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.8,subgraph_1_to_subgraph_3,0,3,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,24,0.0,7.892738090909091,16.867643863636363,23.534811,22.477342,22,3008,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,4,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/subgraph_1_to_subgraph_3/0000/rep_04/raw_row.json,66,0.0,1.4026887727272728,31.404251409090907,2.028936,32.252674,22,973,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,4,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_04/raw_row.json,66,0.0,1.6173598636363635,29.315551045454548,2.303822,30.519448,22,1046,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,4,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_04/raw_row.json,66,0.0,1.9401469090909096,25.187381272727272,3.106222,27.647782,22,1081,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.8,subgraph_1_to_subgraph_3,0,4,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.8/subgraph_1_to_subgraph_3/0000/rep_04/raw_row.json,24,0.0,7.379034772727272,17.462133954545454,21.889796,24.166511,22,3008,4577
algo3,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,1,0,finished,False,/workspace/results/hf-paper-batch-algo3-mistral-current/runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/greedy/subgraph_1_to_subgraph_3/0001/rep_00/raw_row.json,266,0.227273,1.5692955795454546,31.62459665909091,3.964509,33.043182,88,4380,18402
