accuracy,recall,precision,Feature
11.864259497506682,15.497912939773409,16.040225031504953,Array/List(1/-1)
4.023016236196184,8.895348837209305,3.380284681984218,Counterexample
20.37186515753658,16.145850273757247,9.594780090794055,Example
12.48948335046103,2.6948826367431007,15.958655032030562,Explanation
6.236803069476809,8.924486366346832,4.414074180594331,Tag/Adjacency(1/-1)
7.253928110102907,8.430232558139535,8.336276990355527,Array/List(1/-1)_AND_Tag/Adjacency(1/-1)
6.891860393231842,6.424486366346834,3.070699040985198,Counterexample_AND_Array/List(1/-1)
5.583807222008602,3.6049222095733726,9.238038113634259,Counterexample_AND_Tag/Adjacency(1/-1)
4.673970914429552,3.902125006776171,7.874926918474263,Example_AND_Array/List(1/-1)
0.2902505835960572,1.395348837209302,0.2059425382316444,Example_AND_Counterexample
8.926580823806454,6.424486366346838,10.33991601026526,Example_AND_Tag/Adjacency(1/-1)
2.0329144725245665,4.728682170542636,2.248137756843225,Explanation_AND_Array/List(1/-1)
3.2152172980403724,5.758253374532441,3.046886078568089,Explanation_AND_Counterexample
0.30440388704197546,4.7286821705426325,2.4276477801889693,Explanation_AND_Example
5.841638984040375,2.4442998861603535,3.82350975554546,Explanation_AND_Tag/Adjacency(1/-1)
