source_input,Number of Words,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,3,Recall,120,0.028409091666666667,0.16063179534883976,0.0,0.0,1.0,-0.0003315832032702304,0.057149766536603565
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,5,Recall,120,0.08712121666666667,0.2607893626753364,0.0,0.0,1.0,0.040460079213071994,0.13378235412026135
data/results/algo3/deepseek-v3-chat-0324/evaluated/method3_results_evaluated_deepseek-chat-v3.csv,3,Recall,120,0.014772725000000002,0.11489560508441417,0.0,0.0,1.0,-0.0057847071232267015,0.03533015712322671
data/results/algo3/deepseek-v3-chat-0324/evaluated/method3_results_evaluated_deepseek-chat-v3.csv,5,Recall,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/results/algo3/gemini-2.0-flash-exp/evaluated/method3_results_evaluated_gemini_2.0.csv,3,Recall,120,0.027272733333333334,0.10247308858572594,0.0,0.0,0.409091,0.008937971429161761,0.0456074952375049
data/results/algo3/gemini-2.0-flash-exp/evaluated/method3_results_evaluated_gemini_2.0.csv,5,Recall,120,0.08598485833333333,0.2298778136925619,0.0,0.0,1.0,0.04485449875040053,0.12711521791626612
data/results/algo3/google-gemini-2.5-pro/evaluated/method3_results_evaluated_gemini_2.5pro.csv,3,Recall,120,0.030303033333333333,0.1466496690258012,0.0,0.0,1.0,0.004064078286474659,0.056541988380192004
data/results/algo3/google-gemini-2.5-pro/evaluated/method3_results_evaluated_gemini_2.5pro.csv,5,Recall,120,0.030303033333333333,0.1466496690258012,0.0,0.0,1.0,0.004064078286474659,0.056541988380192004
data/results/algo3/gpt-5/evaluated/method3_results_evaluated_gpt5.csv,3,Recall,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/results/algo3/gpt-5/evaluated/method3_results_evaluated_gpt5.csv,5,Recall,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/results/algo3/openai-gpt-4o/evaluated/method3_results_evaluated_gpt4o.csv,3,Recall,120,0.089772725,0.2844722366577417,0.0,0.0,1.0,0.03887418373954491,0.1406712662604551
data/results/algo3/openai-gpt-4o/evaluated/method3_results_evaluated_gpt4o.csv,5,Recall,120,0.08333333333333333,0.2775442529128102,0.0,0.0,1.0,0.033674365644753415,0.13299230102191323
