source_input,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),Convergence,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,-1,-1,-1,accuracy,5,0.9253246753246752,0.0,0.9253246753246752,0.9253246753246752,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,-1,-1,1,accuracy,5,0.931818181818182,0.0,0.9318181818181818,0.9318181818181818,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,-1,1,-1,accuracy,5,0.9253246753246752,0.0,0.9253246753246752,0.9253246753246752,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,-1,1,1,accuracy,5,0.9188311688311688,0.0,0.9188311688311688,0.9188311688311688,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,1,-1,-1,accuracy,5,0.9253246753246752,0.0,0.9253246753246752,0.9253246753246752,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,1,-1,1,accuracy,5,0.931818181818182,0.0,0.9318181818181818,0.9318181818181818,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,1,1,-1,accuracy,5,0.9090909090909092,0.0,0.9090909090909092,0.9090909090909092,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,1,1,1,accuracy,5,0.9025974025974026,0.0,0.9025974025974026,0.9025974025974026,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,-1,-1,-1,accuracy,5,0.9253246753246752,0.0,0.9253246753246752,0.9253246753246752,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,-1,-1,1,accuracy,5,0.9253246753246752,0.0,0.9253246753246752,0.9253246753246752,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,-1,1,-1,accuracy,5,0.9415584415584416,0.0,0.9415584415584416,0.9415584415584416,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,-1,1,1,accuracy,5,0.9415584415584416,0.0,0.9415584415584416,0.9415584415584416,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,1,-1,-1,accuracy,5,0.9253246753246752,0.0,0.9253246753246752,0.9253246753246752,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,1,-1,1,accuracy,5,0.922077922077922,0.0,0.922077922077922,0.922077922077922,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,1,1,-1,accuracy,5,0.935064935064935,0.0,0.935064935064935,0.935064935064935,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,-1,1,1,1,1,accuracy,5,0.935064935064935,0.0,0.935064935064935,0.935064935064935,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,-1,-1,-1,accuracy,5,0.9448051948051948,0.0,0.9448051948051948,0.9448051948051948,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,-1,-1,1,accuracy,5,0.9415584415584416,0.0,0.9415584415584416,0.9415584415584416,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,-1,1,-1,accuracy,5,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,-1,1,1,accuracy,5,0.948051948051948,0.0,0.948051948051948,0.948051948051948,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,1,-1,-1,accuracy,5,0.9448051948051948,0.0,0.9448051948051948,0.9448051948051948,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,1,-1,1,accuracy,5,0.935064935064935,0.0,0.935064935064935,0.935064935064935,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,1,1,-1,accuracy,5,0.9415584415584416,0.0,0.9415584415584416,0.9415584415584416,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,-1,1,1,1,accuracy,5,0.9512987012987012,0.0,0.9512987012987012,0.9512987012987012,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,-1,-1,-1,accuracy,5,0.9415584415584416,0.0,0.9415584415584416,0.9415584415584416,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,-1,-1,1,accuracy,5,0.931818181818182,0.0,0.9318181818181818,0.9318181818181818,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,-1,1,-1,accuracy,5,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,-1,1,1,accuracy,5,0.935064935064935,0.0,0.935064935064935,0.935064935064935,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,1,-1,-1,accuracy,5,0.9448051948051948,0.0,0.9448051948051948,0.9448051948051948,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,1,-1,1,accuracy,5,0.9415584415584416,0.0,0.9415584415584416,0.9415584415584416,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,1,1,-1,accuracy,5,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,1,1,1,1,1,accuracy,5,0.935064935064935,0.0,0.935064935064935,0.935064935064935,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,-1,-1,-1,-1,-1,accuracy,5,0.948051948051948,0.0,0.948051948051948,0.948051948051948,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,-1,-1,-1,-1,1,accuracy,5,0.931818181818182,0.0,0.9318181818181818,0.9318181818181818,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,-1,-1,-1,1,-1,accuracy,5,0.935064935064935,0.0,0.935064935064935,0.935064935064935,0.0,0.0
