algorithm,model,metric,matched_file_count,baseline_mean,llm_mean,mean_delta
algo2,deepseek-chat-v3-0324,accuracy,3,0.9459629517769051,0.9128217652018523,-0.03314118657505283
algo2,deepseek-chat-v3-0324,precision,3,1.0,0.3526204356623864,-0.6473795643376136
algo2,deepseek-chat-v3-0324,recall,3,0.26626867037214935,0.1563861679132642,-0.10988250245888516
algo2,deepseek-chat-v3.1,accuracy,3,0.9459629517769051,0.9172781857193195,-0.028684766057585742
algo2,deepseek-chat-v3.1,precision,3,1.0,0.3494692396501176,-0.6505307603498823
algo2,deepseek-chat-v3.1,recall,3,0.26626867037214935,0.12895020972003013,-0.13731846065211922
algo2,gemini-2.0-flash-exp,accuracy,3,0.9459629517769051,0.8818505864290748,-0.06411236534783042
algo2,gemini-2.0-flash-exp,precision,3,1.0,0.2925773034531258,-0.7074226965468742
algo2,gemini-2.0-flash-exp,recall,3,0.26626867037214935,0.05518347643473085,-0.21108519393741845
algo2,gemini-2.5-pro,accuracy,3,0.9459629517769051,0.9253514169938589,-0.020611534783046337
algo2,gemini-2.5-pro,precision,3,1.0,0.3928728406669584,-0.6071271593330416
algo2,gemini-2.5-pro,recall,3,0.26626867037214935,0.09776293273519517,-0.16850573763695417
algo2,gpt-5,accuracy,3,0.9459629517769051,0.9183030995167624,-0.02765985226014282
algo2,gpt-5,precision,3,1.0,0.3555737491344762,-0.6444262508655237
algo2,gpt-5,recall,3,0.26626867037214935,0.16408778577391972,-0.1021808845982296
algo2,openai-gpt-4o,accuracy,3,0.9459629517769051,0.6247302237491191,-0.3212327280277861
algo2,openai-gpt-4o,precision,3,1.0,0.30349082341269845,-0.6965091765873016
algo2,openai-gpt-4o,recall,3,0.26626867037214935,0.047603283898305065,-0.2186653864738443
