source_input,algorithm,model,Repetition,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),metric,value
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,0,-1,-1,-1,1,1,accuracy,0.8961038961038961
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,1,-1,-1,-1,1,1,accuracy,0.8961038961038961
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,2,-1,-1,-1,1,1,accuracy,0.8961038961038961
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,3,-1,-1,-1,1,1,accuracy,0.8961038961038961
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,4,-1,-1,-1,1,1,accuracy,0.8961038961038961
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,0,-1,-1,-1,-1,1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,1,-1,-1,-1,-1,1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,2,-1,-1,-1,-1,1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,3,-1,-1,-1,-1,1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,4,-1,-1,-1,-1,1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,0,-1,-1,-1,1,-1,accuracy,0.905844155844156
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,1,-1,-1,-1,1,-1,accuracy,0.905844155844156
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,2,-1,-1,-1,1,-1,accuracy,0.905844155844156
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,3,-1,-1,-1,1,-1,accuracy,0.905844155844156
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,4,-1,-1,-1,1,-1,accuracy,0.905844155844156
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,0,-1,-1,-1,-1,-1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,1,-1,-1,-1,-1,-1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,2,-1,-1,-1,-1,-1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,3,-1,-1,-1,-1,-1,accuracy,0.9123376623376624
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,algo1,deepseek-chat-v3.1,4,-1,-1,-1,-1,-1,accuracy,0.9123376623376624
